"nodes","edges","value_bkv","value_aco","time_bkv","time_aco","value_diff","time_diff"
50,50,1181.3,1185.86,0.0166805267333985,0.031963893,4.55999999999995,0.0152833662666015
50,100,1670.5,1689.26,0.0240886926651001,0.0512060893333333,18.76,0.0271173966682332
50,250,2367.7,2399.69333333333,0.632665824890137,0.0838747206666667,31.9933333333333,-0.548791104223471
50,500,2759.2,2796.14,2.65103061199188,0.0948115533333333,36.9400000000001,-2.55621905865855
50,750,2976.9,3014.36,3.90511159896851,0.126405641333333,37.46,-3.77870595763517
50,1000,3195.4,3214.70666666667,3.3467535495758,0.139212732666667,19.3066666666664,-3.20754081690914
100,100,2360,2390.66,0.0176830530166626,0.186206116,30.6599999999999,0.168523062983337
100,250,3676.3,3730.48,0.612820529937743,0.37795882,54.1799999999998,-0.234861709937743
100,500,4471,4555.92,4.55764181613922,0.447313722666667,84.9200000000001,-4.11032809347256
100,750,5142.9,5252.75333333333,12.4347729921341,0.539743056666667,109.853333333333,-11.8950299354674
100,1000,5274.8,5385.02,14.2905138492584,0.554141864666667,110.22,-13.7363719845918
100,2000,5961.8,6047.64,50.7367980480194,0.72274922,85.8400000000001,-50.0140488280194
150,150,3735.3,3791.92,0.0330710887908936,0.525820978,56.6199999999999,0.492749889209107
150,250,4691.8,4779.74,0.0762263059616089,0.754941556666667,87.9399999999996,0.678715250705058
150,500,6002.7,6150.66666666667,6.18745348453522,1.07399218,147.966666666667,-5.11346130453522
150,750,7005.7,7152.92666666667,28.9828973293305,1.19233731333333,147.226666666666,-27.7905600159971
150,1000,7319.6,7447.72666666667,58.2654596090317,1.33642039333333,128.126666666666,-56.9290392156984
150,2000,8363.2,8516.20666666667,220.337197852135,1.55749689333333,153.006666666666,-218.779700958802
150,3000,8831.3,8954.80666666667,299.129372906685,1.7557334,123.506666666668,-297.373639506685
200,250,5350.4,5406.93333333333,0.0474663972854614,1.18704552666667,56.5333333333338,1.13957912938121
200,500,7273.7,7434.90666666667,3.95735561847687,1.70932333333333,161.206666666667,-2.24803228514353
200,750,8507.5,8750.48666666667,38.1615663290024,2.21793024666667,242.986666666666,-35.9436360823357
200,1000,8996.5,9193.06,115.160612511635,2.43713076,196.559999999999,-112.723481751635
200,2000,10591.1,10722.5,299.702649021149,2.89509604,131.4,-296.807552981149
200,3000,11565.2,11640.0533333333,299.30418150425,3.10651870666667,74.8533333333326,-296.197662797583
250,250,6043.3,6100.75333333333,0.0450215578079224,1.71860979333333,57.4533333333329,1.67358823552541
250,500,8259.4,8412.92666666667,1.5566020488739,2.60643342,153.526666666667,1.0498313711261
250,750,9878.5,10092.3533333333,30.2555773496628,3.19417494666667,213.853333333333,-27.0614024029961
250,1000,10724.7,10955.3666666667,238.472372412682,3.65249936,230.666666666666,-234.819873052682
250,2000,12943.7,13020.3466666667,299.801829767227,4.53275462,76.6466666666656,-295.269075147227
250,3000,14243.7,14202.2666666667,299.386158537865,4.66758748666667,-41.4333333333343,-294.718571051198
250,5000,14983.3,15033.5333333333,297.837065839767,5.09839123333333,50.2333333333336,-292.738674606434
300,300,7414.4,7528.35333333333,0.0542096138000488,2.46440903333333,113.953333333334,2.41019941953328
300,500,9212.5,9375.90666666667,0.163725328445435,3.16646271333333,163.406666666666,3.0027373848879
300,750,10907.7,11144.5466666667,11.121865439415,3.89136936,236.846666666666,-7.23049607941498
300,1000,11994.5,12266.98,189.004477643967,5.50550779333333,272.48,-183.498969850633
300,2000,14950.9,14958.6066666667,299.812274312973,6.16694604,7.70666666666693,-293.645328272973
300,3000,16582.6,16388.2066666667,299.442539906502,6.52652883333333,-194.393333333333,-292.916011073168
300,5000,17712.5,17619.9866666667,298.017061424255,6.30239838,-92.5133333333324,-291.714663044255
