nodes,edges,instance,n_nodes,value
10,10,1,4,174
10,10,2,5,159
10,10,3,4,232
10,10,4,4,184
10,10,5,4,308
10,10,6,4,268
10,10,7,4,220
10,10,8,5,359
10,10,9,5,234
10,10,10,4,215
10,20,1,5,271
10,20,2,7,257
10,20,3,6,334
10,20,4,6,311
10,20,5,6,262
10,20,6,6,323
10,20,7,6,403
10,20,8,6,458
10,20,9,6,400
10,20,10,6,388
10,30,1,8,439
10,30,2,7,563
10,30,3,7,537
10,30,4,8,325
10,30,5,7,391
10,30,6,7,386
10,30,7,6,395
10,30,8,7,447
10,30,9,7,418
10,30,10,7,445
10,40,1,8,526
10,40,2,8,496
10,40,3,8,548
10,40,4,8,426
10,40,5,8,449
10,40,6,8,475
10,40,7,8,309
10,40,8,8,579
10,40,9,8,467
10,40,10,8,524
15,20,1,6,464
15,20,2,8,327
15,20,3,6,395
15,20,4,7,467
15,20,5,7,333
15,20,6,7,453
15,20,7,7,406
15,20,8,8,460
15,20,9,9,435
15,20,10,8,576
15,40,1,9,550
15,40,2,9,526
15,40,3,10,626
15,40,4,10,519
15,40,5,10,595
15,40,6,9,619
15,40,7,10,606
15,40,8,9,588
15,40,9,11,660
15,40,10,10,681
15,60,1,11,755
15,60,2,12,671
15,60,3,11,705
15,60,4,10,606
15,60,5,11,737
15,60,6,11,750
15,60,7,11,743
15,60,8,11,768
15,60,9,11,791
15,60,10,11,593
15,80,1,12,661
15,80,2,12,689
15,80,3,12,884
15,80,4,12,776
15,80,5,11,794
15,80,6,12,697
15,80,7,12,862
15,80,8,12,836
15,80,9,12,777
15,80,10,12,750
15,100,1,13,837
15,100,2,13,723
15,100,3,13,805
15,100,4,13,866
15,100,5,13,835
15,100,6,13,971
15,100,7,13,829
15,100,8,13,863
15,100,9,13,842
15,100,10,13,767
20,20,1,9,430
20,20,2,9,501
20,20,3,10,662
20,20,4,8,557
20,20,5,9,487
20,20,6,9,555
20,20,7,8,410
20,20,8,8,568
20,20,9,7,454
20,20,10,8,521
20,40,1,12,793
20,40,2,10,713
20,40,3,11,819
20,40,4,11,564
20,40,5,11,594
20,40,6,11,726
20,40,7,11,680
20,40,8,12,745
20,40,9,11,725
20,40,10,12,763
20,60,1,13,1083
20,60,2,12,797
20,60,3,14,784
20,60,4,14,984
20,60,5,14,867
20,60,6,13,732
20,60,7,14,876
20,60,8,13,844
20,60,9,13,901
20,60,10,14,762
20,80,1,15,1058
20,80,2,14,892
20,80,3,14,939
20,80,4,15,921
20,80,5,15,856
20,80,6,13,840
20,80,7,14,844
20,80,8,14,957
20,80,9,14,925
20,80,10,14,849
20,100,1,16,933
20,100,2,15,961
20,100,3,14,969
20,100,4,15,1010
20,100,5,16,929
20,100,6,14,773
20,100,7,16,1102
20,100,8,15,1077
20,100,9,16,1042
20,100,10,16,1115
20,120,1,16,959
20,120,2,16,1068
20,120,3,15,897
20,120,4,16,1112
20,120,5,16,1261
20,120,6,16,1011
20,120,7,16,1000
20,120,8,16,1040
20,120,9,16,964
20,120,10,17,802
25,40,1,13,837
25,40,2,14,863
25,40,3,13,965
25,40,4,13,532
25,40,5,13,729
25,40,6,13,726
25,40,7,13,949
25,40,8,12,808
25,40,9,14,804
25,40,10,14,804
25,80,1,16,1309
25,80,2,17,917
25,80,3,15,1119
25,80,4,16,888
25,80,5,17,1085
25,80,6,15,971
25,80,7,17,1154
25,80,8,16,1039
25,80,9,16,963
25,80,10,16,1085
25,100,1,17,1209
25,100,2,19,1212
25,100,3,17,1210
25,100,4,18,969
25,100,5,18,834
25,100,6,17,1187
25,100,7,18,922
25,100,8,17,897
25,100,9,16,1270
25,100,10,17,1235
25,150,1,20,1380
25,150,2,19,1210
25,150,3,19,1384
25,150,4,19,1152
25,150,5,19,1211
25,150,6,20,1151
25,150,7,20,1132
25,150,8,19,1061
25,150,9,20,1277
25,150,10,19,1520
25,200,1,21,1446
25,200,2,21,1192
25,200,3,21,1220
25,200,4,20,1565
25,200,5,20,1304
25,200,6,21,1458
25,200,7,20,1313
25,200,8,21,1662
25,200,9,21,1371
25,200,10,21,1152
